words,freq,relevant_word_positive_mv,relevant_word_negative__mv,relevant_word_positive_mb,relevant_word_negative_mb,relevant_word_positive_wa,relevant_word_negative_wa
griekenland,16,,1,,,,
grieken,13,,1,,,,
laag,12,,1,,1,,1
economie,10,,,,,,
nieuw,10,,,,,,
moeten,10,,,,,,
willen,9,,,,,,
dalen,9,,1,,1,,1
groei,8,1,,1,,1,
procent,8,,,,,,
grieks,8,,1,,,,
weg,8,,1,,,,1
ban,8,,1,,1,,1
beurs,8,,,,,,
inflatie,7,,1,,1,,1
weer,7,,,,,,
vs,7,,,,,,
imf,7,,1,,,,
nederland,7,,,,,,
v,7,,,,,,
snel,6,,,,,,
bezuiniging,6,,1,,1,,1
rente,6,,,,,,
d,6,,,,,,
wel,6,,,,,,
dijsselbloem,5,,,,,,
zetten,5,,,,,,
bank,5,,1,,,,
jaar,5,,,,,,
werkloosheid,5,,1,,1,,1
herstel,5,1,,1,,1,
kans,5,1,,1,,1,
ecb,5,,,,,,
extra,5,,,,,,
olieprijs,5,,,,,,
goed,5,1,,1,,1,
we,5,,,,,,
werk,5,,,1,,,
euro,4,,,,,,
blijven,4,,,,,,
wall,4,,,,,,
street,4,,,,,,
eigen,4,,,,,,
maken,4,,,,,,
hoog,4,,,,,1,
geld,4,,,,,,
weinig,4,,1,,1,,1
europa,4,,,,,,
grexit,4,,1,,1,,1
stijgen,4,,,1,,1,
baan,4,,,1,,1,
krijgen,4,,,,,1,
belegger,4,1,,,,,
miljoen,4,,,,,,
staan,4,,,,,,
groot,3,,,,,,
verder,3,,,,,,
drukken,3,,,,,,1
thuiszorg,3,,,,,,
ver,3,,,,,,
nooit,3,,,,,,
kost,3,,,,1,,
gaan,3,,,,,,
live,3,,,,,,
cijfer,3,,,,,,
mkb,3,,,,,,
overheid,3,,,,,,
begin,3,,,,,,
één,3,,,,,,
winst,3,1,,1,,1,
heel,3,,,,,,
bedrijf,3,,,,,,
akkoord,3,1,,1,,1,
geven,3,,,,,,
crisis,3,,1,,1,,1
asscher,3,,,,,,
hypothek,3,,,,,,
ww,3,,1,,,,
ontslag,3,,1,,1,,1
werken,3,1,,1,,,
houden,3,,,,,,
kabinet,3,,,,,,
zeggen,3,,,,,,
zwart,3,,,,1,,
plan,3,,,,,,
air,3,,,,,,
duits,3,,,,,,
maart,3,,,,,,
vrezen,3,,,,1,,
bezuinigen,2,,1,,1,,1
miljard,2,,,,,,
bonden,2,,,,,,
duizend,2,,,,,,
athene,2,,1,,,,
brits,2,,,,,,
week,2,,,,,,
tsn,2,,,,,,
spaarrent,2,,,,,,
duiken,2,,,,1,,1
raken,2,,,,,,
teken,2,,,,,,
varoufakis,2,,1,,,,
schuld,2,,1,,1,,1
aflos,2,1,,1,,1,
product,2,,,,,,
mogen,2,,,,,,
help,2,1,,1,,1,
staat,2,,,,,,
nederlands,2,,,,,,
hypotheekrente,2,,,,,,
terug,2,,,,,,
provincie,2,,,,,,
pensioenfonds,2,,,,,,
pijn,2,,1,,1,,1
vrij,2,,,,,,
val,2,,,,1,,1
zweeds,2,,,,,,
nulpunt,2,,,,1,,
begroting,2,,,,,,
daling,2,,,,1,,1
inzet,2,,,,,,
water,2,,,,,,
voortgang,2,,,1,,1,
zalando,2,,,,,,
mogelijk,2,,,,,,
opeens,2,,,,,,
huizenprijzen,2,,,,,,
baten,2,1,,1,,1,
scenario,2,,,,,,
voorzien,2,,,,,,
lening,2,,1,,,,
pleiten,2,,,,,,
rechtsbijstand,2,,,,,,
komen,2,,,,,,
ttip,2,,,,,,
jong,2,,,,,,
oneerlijk,2,,1,,1,,1
dag,2,,,,,,
oplossing,2,1,,1,,1,
wet,2,,,,,,
sterk,2,1,,1,,1,
belasting,2,,,,,,
loonoffer,2,,1,,1,,1
schrappen,2,,1,,1,,1
omlaag,2,,1,,1,,
huurstijging,2,,,,1,,
dur,2,,,,,,
vinden,2,,,,,,
heijmans,2,,,,,,
halen,2,,,,,,
vast,2,,,1,,,
lang,2,,,,,,
druk,2,,,,,,
onderhandeling,2,,,,,,
brussel,2,,,,,,
liggen,2,,,,,,
aex,2,,,,,,
breken,2,,,,1,,1
stoppen,2,,,,1,,
wij,2,,,,,,
volgen,2,,,,,,
enorm,2,,,,,,
positief,2,1,,1,,1,
energie,2,1,,,,,
obligatie,2,,,,,,
zoeken,2,,,,,,
rechter,2,,,,,,
loonsverlaging,2,,1,,1,,1
laat,2,,,,,,
china,2,,,,,,
japan,2,,,,,,
naheffing,2,,1,,1,,
oud,2,,,,,,
werkgever,2,,,,,,
net,2,,,,,,
nodig,2,,,,,,
kopen,2,,,,,,
fmo,2,,,,,,
dwingen,2,,1,,1,,1
helpen,2,1,,1,,1,
land,2,,,,,,
arm,2,,1,,,,1
hulp,2,1,,1,,,
blok,2,,,,,,
drie,2,,,,,,
verlies,2,,1,,1,,1
slecht,2,,1,,1,,1
cyprus,2,,,,,,
groeien,2,1,,1,,1,
verhooggen,2,,1,1,,1,
abn,2,,,,,,
consument,2,,,,,,
france,2,,,,,,
stijging,2,1,,1,,,
rood,2,,1,,,,1
bankroet,2,,1,,1,,1
zorg,2,,,,,,
aantal,2,,,,,,
gemeente,2,,,,,,
financieel,2,,,,,,
steun,2,1,,1,,1,
ander,2,,,,,,
sociaal,2,,,1,,1,
verzenken,2,,,,,,
schaen,2,,,,,,
ser,2,,,,,,
pensioenen,2,,,,,,
pessimistisch,1,,1,,1,,1
stap,1,,,,,,
griek,1,,1,,,,
aandelenbeurzen,1,,,,,,
koersopmars,1,1,,1,,,
voren,1,,,,,,
deutsche,1,,,,,,
megaboete,1,,1,,1,,1
spanje,1,,,,,,
rekenen,1,,,,,,
baalen,1,,,,,,
vvd,1,,,,,,
eu-ministers,1,,,,,,
tevreden,1,1,,1,,1,
bezorgen,1,,,,,,
flirt,1,1,,,,,
tussen,1,,,,,,
delhaize,1,,,,,,
ahold,1,,,,,,
niveau,1,,,,,,
nul,1,,,,1,,
protesteren,1,,,,1,,1
dow,1,,,,,,
boven,1,,,1,,,
punt,1,,,,,,
enkel,1,,,,,,
vooruit,1,,,,,,
s,1,,,,,,
p,1,,,,,,
somber,1,,1,,1,,
wisselkoersen,1,,,,,,
winstgroei,1,1,,1,,,
michael,1,,,,,,
page,1,,,,,,
medewerker,1,,,,,,
kwijten,1,,,,,,
drama,1,,1,,1,,
redding,1,1,,1,,,
hoop,1,1,,1,,,
openen,1,,,,,,
vrijwel,1,,,,,,
onveranderd,1,,,,,,
technologie,1,,,,,,
aanjagen,1,,,1,,1,
laagopgeleide,1,,,,,,
achterop,1,,,,,,1
beurshandel,1,,,,,,
marathonoverleg,1,,1,,,,
exporteren,1,,,,,,
duitsland,1,,,,,,
zoveel,1,,,,,,
ko,1,,,,,,
rentestijging,1,,1,,1,,
raadsel,1,,,,,,
verwenken,1,,,,,,
russisch,1,,,,,,
belastingplan,1,,,,,,
btw,1,,,,,,
merkel,1,,,,,,
keuze,1,,,,,,
prijs,1,,,,,,
bestendig,1,1,,1,,1,
deflatie,1,,,,1,,1
zien,1,,,,,,
vaart,1,,,,,,
cbs,1,,,,,,
gegroeid,1,1,,1,,1,
huizenkoper,1,,,,,,
grijpt,1,,,,,,
hypotheken,1,,,,,,
hten,1,,,,,,
investeerders,1,,,,,,
keren,1,,,,,,
via,1,,,,,,
aanbieder,1,,,,,,
overdracht,1,,,,,,
sneuvelen,1,,1,,1,,1
finish,1,,,,,,
utrecht,1,,,,,,
kop,1,,,,,,
dft,1,,,,,,
leggen,1,,,,,,
twaalf,1,,,,,,
verkiezing,1,,,,,,
langs,1,,,,,,
economisch,1,,,,,,
meetlat,1,,,,,,
klem,1,,,,,,1
beursbonanza,1,,,,,1,
maximaal,1,,,,,,
profiteren,1,1,,1,,1,
verkoop,1,,,,,,
huis,1,,,,,,