id,headline,google,deepl,dutch_lemmas,google_lemmas,deepl_lemmas
10367,Dijsselbloem pessimistisch over snelle stappen Grieken,Dijsselbloem pessimistic about fast steps Greeks,Dijsselbloem pessimistic about quick steps Greeks,Dijsselbloem pessimistisch over snel stap Griek,Dijsselbloem pessimistic about fast step Greeks,Dijsselbloem pessimistic about quick step Greeks
11191,Aandelenbeurzen zetten koersopmars voort,Stock exchanges continue to grow,Equity markets continue price march,Aandelenbeurzen zetten koersopmars voren,stock exchange continue to grow,equity market continue price march
12363,Deutsche Bank bezuinigt miljarden na megaboete,Deutsche Bank cuts billions after mega fine,Deutsche Bank cuts billions after megaboete,Deutsche Bank bezuinigen miljard na megaboete,Deutsche Bank cut billion after mega fine,Deutsche Bank cut billion after megaboete
12367,Spanje rekent op grootste groei in 8 jaar,Spain is counting on the largest growth in 8 years,Spain expects largest growth in 8 years,Spanje rekenen op groot groei in 8 jaar,Spain be count on the largest growth in 8 year,Spain expect largest growth in 8 year
12501,Van Baalen (VVD) wil Griekenland uit de euro,Van Baalen (VVD) wants Greece out of the euro,Van Baalen (VVD) wants Greece to get out of the euro,van Baalen ( VVD ) willen Griekenland uit de euro,Van Baalen ( VVD ) want Greece out of the euro,Van Baalen ( VVD ) want Greece to get out of the euro
12681,EU-ministers nog niet tevreden over Griekenland,EU ministers not yet satisfied with Greece,EU ministers not yet satisfied with Greece,EU-ministers nog niet tevreden over Griekenland,EU minister not yet satisfied with Greece,EU minister not yet satisfied with Greece
13105,Bonden bezorgd over flirt tussen Delhaize en Ahold,Bounds concerned about flirt between Delhaize and Ahold,Unions concerned about flirtation between Delhaize and Ahold,Bonden bezorgen over flirt tussen Delhaize en Ahold,bound concerned about flirt between Delhaize and Ahold,Unions concerned about flirtation between Delhaize and Ahold
15261,Inflatie gedaald naar laagste niveau in 27 jaar: nul procent,Inflation dropped to lowest level in 27 years: zero percent,Inflation dropped to lowest level in 27 years: zero percent,Inflatie dalen naar laag niveau in 27 jaar : nul procent,inflation drop to lowest level in 27 year : zero percent,inflation drop to lowest level in 27 year : zero percent
18751,Duizenden Grieken protesteren in Athene tegen bezuinigingen,Thousands of Greeks are protesting against austerity in Athens,Thousands of Greeks protest in Athens against austerity measures,duizend Grieken protesteren in Athene tegen bezuiniging,thousand of Greeks be protest against austerity in Athens,thousand of Greeks protest in Athens against austerity measure
21653,Dow weer boven 18.000 punten,"Dow again above 18,000 points","Dow weather above 18,000 points",Dow weer boven 18.000 punt,"Dow again above 18,000 point","Dow weather above 18,000 point"
21973,Britse werkloosheid daalt verder,British unemployment continues to fall,Unemployment continues to fall in the UK,Brits werkloosheid dalen verder,british unemployment continue to fall,Unemployment continue to fall in the UK
23549,Grieken kunnen nog enkele weken vooruit,Greeks can continue a few weeks,Greeks still have a few weeks to go,Grieken kunnen nog enkel week vooruit,Greek can continue a few week,Greek still have a few week to go
23939,S&#38;P blijft somber over Griekenland,S &amp; P remains gloomy about Greece,S&#38;P remains gloomy about Greece,S&#38;P blijven somber over Griekenland,be &amp ; p remain gloomy about Greece,S&# 38;p remain gloomy about Greece
26193,Wisselkoersen drukken winstgroei Michael Page,Exchange rates express earnings growth Michael Page,Exchange rates depressing earnings growth Michael Page,Wisselkoersen drukken winstgroei Michael Page,Exchange rate express earning growth Michael Page,Exchange rate depresse earning growth Michael page
26615,TSN Thuiszorg wil 650 medewerkers kwijt,TSN Thuiszorg wants to lose 650 employees,TSN Home care wants to lose 650 employees,TSN Thuiszorg willen 650 medewerker kwijten,TSN Thuiszorg want to lose 650 employee,TSN home care want to lose 650 employee
26857,Spaarrente duikt onder 1 procent,Savings is below 1 percent,Savings interest dives below 1 percent,Spaarrent duiken onder 1 procent,savings be below 1 percent,savings interest dive below 1 percent
26983,Grieks drama of Griekse redding?,Greek drama or Greek salvation?,Greek drama or Greek rescue?,Grieks drama of Grieks redding ?,greek drama or greek salvation ?,greek drama or greek rescue ?
27069,Spaarrente duikt onder 1 procent,Savings is below 1 percent,Savings interest dives below 1 percent,Spaarrent duiken onder 1 procent,savings be below 1 percent,savings interest dive below 1 percent
29203,Meer hoop voor Grieken,More hope for Greeks,More hope for Greeks,veel hoop voor Grieken,more hope for Greeks,more hope for Greeks
30591,Wall Street opent vrijwel onveranderd,Wall Street opens virtually unchanged,Wall Street opens almost unchanged,Wall Street openen vrijwel onveranderd,wall Street open virtually unchanged,wall Street open almost unchanged
30629,Technologie kan groei VS aanjagen,Technology can drive US growth,Technology can drive US growth,technologie kunnen groei VS aanjagen,technology can drive US growth,technology can drive US growth
31705,Laagopgeleide raakt verder achterop,The less educated is further behind,Low-educated gets further behind,Laagopgeleide raken ver achterop,the less educated be further behind,low - educate get further behind
33235,Beurshandel in teken Grieks marathonoverleg,Stock exchange sign Greek marathon meeting,Stock exchange trade in sign Greek marathon meeting,Beurshandel in teken Grieks marathonoverleg,stock exchange sign greek marathon meeting,stock exchange trade in sign greek marathon meeting
34959,Nog nooit exporteerde Duitsland zoveel als in 2014,Never before has Germany exported as much as in 2014,Never before has Germany exported as much as in 2014,nog nooit exporteren Duitsland zoveel als in 2014,never before have Germany export as much as in 2014,never before have Germany export as much as in 2014
36311,Varoufakis: koste wat het kost schuld aflossen,Varoufakis: at all costs pay off debt,Varoufakis: repay debt at any cost,Varoufakis : ko wat het kost schuld aflos,Varoufakis : at all cost pay off debt,Varoufakis : repay debt at any cost
40877,Is rentestijging een raadsel?,Is interest rate rise a riddle?,Is rising interest rates a mystery?,zijn rentestijging een raadsel ?,be interest rate rise a riddle ?,be rise interest rate a mystery ?
41249,IMF verwacht herstel Russische economie,IMF expects recovery Russian economy,IMF expects Russian economy to recover,IMF verwenken herstel Russisch economie,Imf expect recovery russian economy,Imf expect russian economy to recover
42729,Belastingplan: btw gaat op veel producten naar 21 procent,Tax plan: VAT goes to 21 percent on many products,Tax plan: VAT goes to 21 percent on many products,Belastingplan : btw gaan op veel product naar 21 procent,tax plan : Vat go to 21 percent on many product,tax plan : Vat go to 21 percent on many product
43589,Live - Merkel: Grieken mogen hun eigen keuze maken,Live - Merkel: Greeks may make their own choice,Live - Brandel: Greeks can make their own choice,live - Merkel : Grieken mogen hun eigen keuze maken,Live - Merkel : Greek may make they own choice,Live - Brandel : Greeks can make they own choice
148571717,"Help! De prijzen dalen!; Staat van de Nederlandse economie Bestendige groei, hoge werkloosheid en deflatie","Help! The prices are falling !; State of the Dutch economy Steady growth, high unemployment and deflation","Help! Prices are falling; State of the Dutch economy Sustained growth, high unemployment and deflation","Help ! de prijs dalen ! ; Staat van de Nederlands economie bestendig groei , hoog werkloosheid en deflatie","help ! the price be fall ! ; State of the Dutch economy steady growth , high unemployment and deflation","help ! price be fall ; state of the Dutch economy Sustain growth , high unemployment and deflation"
148571718,Er zit vaart in de economie,There is speed in the economy,The economy is gaining momentum,er zien vaart in de economie,there be speed in the economy,the economy be gain momentum
148571724,"CBS Economie is met 0,5 procent gegroeid",CBS Economy has grown by 0.5 percent,CBS Economy has grown by 0.5 percent,"CBS economie zijn met 0,5 procent gegroeid",CBS economy have grow by 0.5 percent,CBS economy have grow by 0.5 percent
150280829,Huizenkoper grijpt kans; Hypotheekrente nooit zo laag,House buyer seizes opportunity; Mortgage rates never so low,Home buyer seizes opportunity; Mortgage interest never so low,Huizenkoper grijpt kans ; Hypotheekrente nooit zo laag,House buyer seize opportunity ; Mortgage rates never so low,home buyer seizes opportunity ; Mortgage interest never so low
150281029,Cijfer van de week,Figure of the week,Number of the week,Cijfer van de week,figure of the week,number of the week
150281053,Hypotheken weer hot; Investeerders keren terug via nieuwe aanbieders,Mortgages again hot; Investors return via new providers,Mortgages hot again; Investors return via new providers,Hypotheken weer hten ; Investeerders keren terug via nieuw aanbieder,Mortgage again hot ; investor return via new providr,Mortgage hot again ; investor return via new providr
150281163,Overdracht in mkb sneuvelt voor finish,Transfer in SMEs will die before the finish,Transfer in SMEs dies before finish,Overdracht in mkb sneuvelen voor finish,transfer in SMEs will die before the finish,transfer in SMEs die before finish
150281620,Provincie Utrecht aan kop; DFT legt twaalf provincies voor verkiezingen langs de economische meetlat,Province of Utrecht at the top; DFT lays twelve provinces for elections along the economic yardstick,Province of Utrecht in the lead; DFT puts twelve provinces at the economic yardstick for elections,provincie Utrecht aan kop ; DFT leggen twaalf provincie voor verkiezing langs de economisch meetlat,Province of Utrecht at the top ; Dft lay twelve province for election along the economic yardstick,Province of Utrecht in the lead ; DFT put twelve province at the economic yardstick for election
150281726,"Pensioenfonds klem door ECB; Van beursbonanza wordt niet maximaal geprofiteerd, lage rente doet pijn","Pension fund clamp by the ECB; From stock bonanza is not maximized, low interest hurts","Pension fund clampdown by ECB; no maximum benefit from stock exchange bonus, low interest rate hurts","Pensioenfonds klem door ECB ; van beursbonanza worden niet maximaal profiteren , laag rente doen pijn","Pension fund clamp by the ECB ; from stock bonanza be not maximize , low interest hurt","Pension fund clampdown by ECB ; no maximum benefit from stock exchange bonus , low interest rate hurt"
150281956,Verkoop van huizen daalt,Sale of houses is falling,House sales are falling,verkoop van huis dalen,sale of house be fall,House sale be fall
150282114,Tien keer Apple,Ten times Apple,Ten times Apple,tien keer Apple,ten time Apple,ten time Apple
150282115,Melkprijs in vrije val; Laag tarief voor melkveehouders begint zich te wreken,Milk price in free fall; Low rate for dairy farmers begins to avenge themselves,Milk price in free fall; Low rate for dairy farmers starts to avenge itself,Melkprijs in vrij val ; laag tarief voor melkveehouder beginnen zich te wreken,milk price in free fall ; low rate for dairy farmer begin to avenge themselves,milk price in free fall ; low rate for dairy farmer start to avenge itself
150282116,Zweedse rente onder nulpunt,Swedish interest below zero,Swedish zero interest rate,Zweeds rente onder nulpunt,swedish interest below zero,swedish zero interest rate
150282117,Tik voor begroting door lage inflatie; Daling gasprijs is extra tegenvaller overheid,Tap budget for low inflation; Falling gas price is extra disappointing government,Tik voor begroting door lage inflatie; Daling gasprijs is extra tegenvaller overheid,Tik voor begroting door laag inflatie ; Daling gasprijs zijn extra tegenvaller overheid,tap budget for low inflation ; fall gas price be extra disappointing government,Tik voor begrot door lage inflatie ; Daling gasprij be extra tegenvaller overheid
150282118,Glas op Wall Street halfvol,Glass on Wall Street half full,Glas op Wall Street halfvol,glas op Wall Street halfvol,Glass on Wall Street half full,Glas op Wall Street halfvol
150282124,Opleving huizenmarkt zet ook door in 2015,The housing market also continues in 2015,Completion of the housing market continues in 2015,Opleving huizenmarkt zetten ook door in 2015,the housing market also continue in 2015,completion of the housing market continue in 2015
150282126,Banen weg door inzet postscooter,Jobs away by deploying a postscooter,Jobs away by inserting postscooter,Banen weg door inzet postscooter,Jobs away by deploy a postscooter,Jobs away by inserting postscooter
150282229,Onderzoek rentebeleid banken,Investigate interest rate policies banks,Research interest policy banks,onderzoek rentebeleid banken,investigate interest rate policy bank,research interest policy bank
150282410,"Nerd in de lift, manager buitenspel","Nerd in the elevator, manager offside","Nerd in the elevator, manager offside","Neren in de lift , manag buitenspel","nerd in the elevator , manager offside","nerd in the elevator , manager offside"
150282475,Geld. Goedkope benzine leidt tot extreem lage inflatie begin dit jaar,Money. Cheap gasoline leads to extremely low inflation early this year,Money. Cheap petrol leads to extremely low inflation early this year,geld . goedkoop benzine leiden tot extreem laag inflatie begin dit jaar,money . cheap gasoline lead to extremely low inflation early this year,money . cheap petrol lead to extremely low inflation early this year
150284544,Minder woningen onder water,Less homes under water,Fewer houses under water,weinig woningen onder water,less home under water,fewer house under water
150284790,Werkloosheid iets gedaald in eurozone,Unemployment slightly declined in the eurozone,Unemployment slightly down in eurozone,werkloosheid iets dalen in eurozone,Unemployment slightly decline in the eurozone,Unemployment slightly down in eurozone
150285229,Dijsselbloem maakt voortgang met Grieken,Dijsselbloem is making progress with Greeks,Dijsselbloem makes progress with Greeks,Dijsselbloem maken voortgang met Grieken,thDijsselbloey be make progress with Greeks,thDijsselbloey make progress with Greeks
150285231,Inflatie in Nederland gezakt naar nulpunt,Inflation down to zero in the Netherlands,Inflation in the Netherlands has fallen to zero,Inflatie in Nederland zken naar nulpunt,inflation down to zero in the Netherlands,inflation in the Netherlands have fall to zero
150285232,Webwinkel Zalando boekt eerste winst,Webshop Zalando makes the first profit,Webshop Zalando makes first profit,Webwinkel Zalando boken één winst,Webshop Zalando make the first profit,Webshop Zalando make first profit
150285254,IEA voorziet mogelijk herstel van olieprijs,IEA provides for possible oil price recovery,IEA foresees possible recovery of oil price,Iea voorziet mogelijk herstel van olieprijs,IEA provide for possible oil price recovery,IEA foresee possible recovery of oil price
150285303,Opeens is er groei in heel Europa,Suddenly there is growth all over Europe,Suddenly there is growth across Europe,opeens zijn er groei in heel Europa,suddenly there be growth all over Europe,suddenly there be growth across Europe
150285706,Werkgelegenheid EU is verbeterd,Employment EU has improved,EU employment has improved,werkgelegenheid Eu zijn verbeteren,employment EU have improve,EU employment have improve
150285949,Vergrijzing remt huizenprijzen,Aging inhibits house prices,Ageing inhibits house prices,Vergrijzing rmen huizenprijzen,A inhibit 's house price,Age inhibit 's house price
150285997,`Klein bedrijf meest gebaat bij akkoord met VS,`Small business benefits most from agreement with the US,`Small business benefits most from agreement with the US,`Klein bedrijf veel baten bij akkoord met VS,` small business benefit most from agreement with the US,` small business benefit most from agreement with the US
150286193,Breng gevaren fondsen in kaart,Map dangers funds,Map dangers funds,Breng gevaren fonds in kaart,map danger fund,map danger fund
150286207,Een zomers scenario,A summer scenario,Een zomers scenario,een zomer scenario,a summer scenario,Een zomer scenario
150286325,Ziek van vrijhandel,Ill of free trade,Ill from free trade,ziek van vrijhandel,Ill of free trade,Ill from free trade
150286328,Zwakke start beursjaar,Weak start of the stock market year,Weak start of the exhibition year,Zwakk start beursjaar,weak start of the stock market year,weak start of the exhibition year
150286710,Bronzen pensioenstelsel maakt Nederland gevaarlijk illiquide,Bronze pension system makes the Netherlands dangerously illiquid,Bronze pension system makes the Netherlands dangerously illiquid,bronzen pensioenstelsel maken Nederland gevaarlijk illiquien,bronze pension system make the Netherlands dangerously illiquid,bronze pension system make the Netherlands dangerously illiquid
150286729,Noodlijdend Oekraine hoopt op IMF-noodkrediet,Distressed Ukraine hopes for IMF emergency credit,Urgent Ukraine hopes for IMF emergency credit,Noodlijdend Oekraine hopen op IMF-noodkrediet,Distress Ukraine hope for Imf emergency credit,urgent Ukraine hope for IMF emergency credit
150286991,Huizenverkopen VS gedaald,US home sales dropped,US house sales down,Huizenverkoop VS dalen,US home sale drop,US house sale down
150287149,Commerzbank voorziet nieuwe tegenslagen,Commerzbank anticipates new setbacks,Commerzbank anticipates new setbacks,Commerzbank voorzien nieuw tegenslag,Commerzbank anticipate new setback,Commerzbank anticipate new setback
150287150,Lening tegen laagste rente ooit,Loan at lowest interest ever,Loan at lowest interest rate ever,lening tegen laag rente ooit,loan at lowest interest ever,loan at lowest interest rate ever
150287152,Snelle daling van inflatie goed voor de koopkracht,Rapid decline in inflation good for purchasing power,Rapid decline in inflation good for purchasing power,snel daling van inflatie goed voor de koopkracht,rapid decline in inflation good for purchase power,rapid decline in inflation good for purchase power
150287153,Webwinkelgigant Zalando maakt voor het eerst sinds bestaan winst,Web store giant Zalando is making a profit for the first time since its existence,Web store giant Zalando makes profit for the first time in existence,Webwinkelgigant Zalando maken voor het één sinds bestaan winst,web store giant Zalando be make a profit for the first time since its existence,web store gian Zalando make profit for the first time in existence
150287154,Zweedse centrale bank stapt over op negatieve rente,The Swedish central bank switches to negative interest rates,Swedish central bank switches to negative interest rate,Zweeds centraal bank stappen over op negatief rente,the swedish central bank switch to negativing interest rate,swedish central bank switch to negativing interest rate
150287155,State of the market,State of the market,State of the market,State of the market,State of the market,State of the market
150287158,Minder gas winnen hoeft geen geld te kosten,Winning less gas does not have to cost money,Winning less gas does not have to cost money,weinig gas winnen hobben geen geld te kosten,win less gas do not have to cost money,win less gas do not have to cost money
150287160,`Britse inflatie zal verder dalen,British inflation will continue to fall,British inflation will continue to fall,`Brits inflatie zullen verder dalen,british inflation will continue to fall,british inflation will continue to fall
150287733,FNV pleit voor crisispakket pensioenfondsen,FNV argues for crisis package pension funds,FNV advocates crisis package for pension funds,Fnv pleiten voor crisispakket pensioenfonds,haFnve argue for crisis package pension fund,haFnve advocate crisis package for pension fund
150289181,EU-miljardenfonds creeert 34.000 banen in Nederland,"EU billion fund creates 34,000 jobs in the Netherlands","EU billion fund creates 34,000 jobs in the Netherlands",EU-miljardenfonds creeren 34.000 ban in Nederland,"EU billion fund create 34,000 job in the Netherlands","EU billion fund create 34,000 job in the Netherlands"
150289763,Geld rolt weer,Money rolls again,Money rolls again,geld rolen weer,money roll again,money roll again
150290047,Griekenland met blufpoker op weg naar de verlenging,Greece with bluff poker on the way to the extension,Greece with blufpoker on its way to the extension,Griekenland met blufpoker op weg naar de verlenging,Greece with bluff poker on the way to the extension,Greece with blufpoker on its way to the extension
150290282,Cijfers uit VS drukken sentiment op beurzen,Figures from the US express sentiment at trade fairs,US figures print sentiment on stock exchanges,Cijfer uit VS drukken sentiment op beurs,figure from the US express sentiment at trade fair,US figure print sentiment on stock exchange
150290740,ECB geeft Grieken lucht,ECB gives Greeks air,ECB gives Greece air,ECB geven Grieken lucht,ECB give Greeks air,ECB give Greece air
150290814,Rechtsbijstand moet zuiniger,Legal aid must be more economical,Legal aid should be more economical,Rechtsbijstand moeten zuinig,legal aid must be more economical,legal aid should be more economical
150290877,"Voorstel komt te snel, eerst even uitblazen","Proposal comes too quickly, first blow out","Proposal comes too fast, first blow out a little","voorstel komen te snel , eerst even uitblazen","proposal come too quickly , first blow out","proposal come too fast , first blow out a little"
150291001,Banken lonken naar - sommige - zzpers,Banks beckon to - some - self-employed people,Banks beckon at - some - zzpers,Bank lonken naar - sommig - zzper,bank beckon to - some - self - employ people,bank beckon at - some - zzper
150291466,Burger is wakker: TTIP komt eraan,Burger is awake: TTIP is coming,Burger is awake: TTIP is coming,burger zijn wakk : TTIP komen eraan,Burger be awake : Ttip be come,Burger be awake : Ttip be come
150291742,Jongeren boos om oneerlijk laag minimumloon,Young people angry at unfair low minimum wage,Young people angry at unfair low minimum wage,jong boos om oneerlijk laag minimumloon,young people angry at unfair low minimum wage,young people angry at unfair low minimum wage
150291782,In een dag 300 mln. aan spaargeld weg,In one day 300 million worth of savings,300 million in savings in one day away,in een dag 300 mln . aan spaargeld weg,in one day 300 million worth of savings,300 million in savings in one day away
150291802,Kans op tijdige oplossing Griekse crisis minimaal,Opportunity for a timely solution Greek crisis minimal,Chance of timely resolution of Greek crisis minimal,kans op tijdig oplossing Grieks crisis minimaal,opportunity for a timely solution greek crisis minimal,chance of timely resolution of greek crisis minimal
150292190,G20-top in teken van Grexit en dreigende valuta-oorlog,G20 summit in sign of Grexit and threatening currency war,G20 summit in the sign of Grexit and imminent currency war,G20-top in teken van Grexit en dreigen valuta-oorlog,G20 summit in sign of Grexit and threaten currency war,G20 summit in the sign of Grexit and imminent currency war
150292612,Asscher: Wet flexwerk niet na paar incidenten aanpassen,Asscher: Do not adjust flex work after a few incidents,Asscher: Act flexwork not after few incidents adjust,Asscher : wet flexwerk niet na paar incident aanpassen,Asscher : do not adjust flex work after a few incidents,Asscher : act flexwork not after few incidents adjust
150292974,Triodos wil sterker inzetten op hypotheken,Triodos wants to bet stronger on mortgages,Triodos wants to focus more on mortgages,Triodos willen sterk inzet op hypothek,Triodos want to bet stronger on mortgage,Triodos want to focus more on mortgage
163416476,WW teruggeschroefd,WW scaled back,WW scaled down,Ww teruggeschroefd,WW scal back,WW scal down
163464790,Geen lagere belastingen maar banen,No lower taxes but jobs,No lower taxes but jobs,geen laag belasting maar ban,no lower tax but job,no lower tax but job
163500076,Hypotheekaanvragen stijgen explosief door aantrekkende woningmarkt,Mortgage applications are rising explosively due to the attractive housing market,Mortgage applications rise explosively due to the recovery of the housing market,Hypotheekaanvrag stijgen explosief door aantrekken woningmarken,Mortgage applications be rise explosively due to the attractive housing market,Mortgage applications rise explosively due to the recovery of the housing market
164107322,"V&D : geen loonoffer, wel 400 ontslagen","V &D: no salary sacrifice, 400 dismissals","V&D : no wage sacrifice, but 400 redundancies","V&D : geen loonoffer , wel 400 ontslag","have & : no salary sacrifice , 400 dismissal","V&d : no wage sacrifice , but 400 redundancy"
164107571,Het gevecht voor 15 dollar per uur,The fight for 15 dollars per hour,Het gevecht voor 15 dollar per uur,het vechten voor 15 dollar per uur,the fight for 15 dollar per hour,Het gevecht voor 15 dollar per uur
164107572,"V&D schrapt 400 banen, lonen hoeven niet omlaag","V &D scrapes 400 jobs, wages do not have to go down","V&D deletes 400 jobs, wages do not have to be reduced","V&D schrappen 400 ban , lonen hoijven niet omlaag","have &D scrape 400 job , wage do not have to go down","V&d delete 400 job , wage do not have to be reduce"
164107832,Huurstijging bepaald door kwaliteit woning,Rental increase determined by quality property,Rent increase determined by the quality of the home,Huurstijging bepalen door kwaliteit woning,rental increase determine by quality property,rent increase determine by the quality of the home
18231,Hulpprogramma Griekenland wordt niet verlengd,The Greece aid program is not being extended,The aid programme for Greece will not be extended,Hulpprogramma Griekenland worden niet verlengen,the Greece aid program be not be extend,the aid programme for Greece will not be extend
150282119,Moeders werken dankzij de omas; Ouders creatief in omzeilen dure kinderopvang,Mothers work thanks to the grandmothers; Parents get creative in bypassing expensive childcare,Mothers work thanks to the omas; Parents creative in bypassing expensive childcare,Moeder werken dankzij de omas ; ouder creatief in omzeil dur kinderopvang,mothers work thanks to the grandmother ; Parents get creative in bypass expensive childcare,mothers work thanks to the oma ; Parents creative in bypass expensive childcare
34831,Knot vindt geldpers aanzetten paardenmiddel voor half procent i,Knot thinks the money press is starting equine substance for half percent i,Knot finds cash press turn on horse medicine for half percent i,Knot vinden geldper aanzetten paardenmiddel voor half procent us,Knot think the money press be start equine substance for half percent I,Knot find cash press turn on horse medicine for half percent I
148572031,UWV blokkeert ontslag van 158 man bij Heijmans,UWV blocks the dismissal of 158 employees at Heijmans,UWV blocks dismissal of 158 people at Heijmans,UWV blokkeren ontslag van 158 man bij Heijmans,UWV block the dismissal of 158 employee at Heijmans,haUwve block dismissal of 158 people at Heijmans
